Mod:Item:MetaData, Localized Name
minecraft:wool:3, Light Blue Wool
minecraft:wool:4, Yellow Wool
minecraft:wool:5, Lime Wool
minecraft:wool:6, Pink Wool
minecraft:wool:7, Gray Wool
minecraft:wool:8, Light Gray Wool
minecraft:wool:9, Cyan Wool
minecraft:wool:10, Purple Wool
minecraft:wool:11, Blue Wool
minecraft:wool:12, Brown Wool
minecraft:wool:13, Green Wool
minecraft:wool:14, Red Wool
minecraft:wool:15, Black Wool
minecraft:yellow_flower:0, Dandelion
minecraft:red_flower:0, Poppy
minecraft:red_flower:1, Blue Orchid
minecraft:red_flower:2, Allium
minecraft:red_flower:3, Azure Bluet
minecraft:red_flower:4, Red Tulip
minecraft:red_flower:5, Orange Tulip
minecraft:red_flower:6, White Tulip
minecraft:red_flower:7, Pink Tulip
minecraft:red_flower:8, Oxeye Daisy
minecraft:brown_mushroom, Mushroom
minecraft:red_mushroom, Mushroom
minecraft:gold_block, Block of Gold
minecraft:iron_block, Block of Iron
minecraft:stone_slab:0, Smooth Stone Slab
minecraft:stone_slab:1, Sandstone Slab
minecraft:stone_slab:3, Cobblestone Slab
minecraft:stone_slab:4, Bricks Slab
minecraft:stone_slab:5, Stone Bricks Slab
minecraft:stone_slab:6, Nether Brick Slab
minecraft:stone_slab:7, Quartz Slab
minecraft:brick_block, Bricks
minecraft:tnt, TNT
minecraft:bookshelf, Bookshelf
minecraft:mossy_cobblestone, Moss Stone
minecraft:obsidian, Obsidian
minecraft:torch, Torch
minecraft:fire, Fire
minecraft:mob_spawner:0, Monster Spawner
minecraft:oak_stairs, Oak Wood Stairs
minecraft:chest, Chest
minecraft:diamond_ore, Diamond Ore
minecraft:diamond_block, Block of Diamond
minecraft:crafting_table, Crafting Table
minecraft:farmland, Farmland
minecraft:furnace, Furnace
minecraft:lit_furnace, Furnace
minecraft:ladder, Ladder
minecraft:rail, Track
minecraft:stone_stairs, Cobblestone Stairs
minecraft:lever, Lever
minecraft:stone_pressure_plate, Pressure Plate
minecraft:wooden_pressure_plate, Pressure Plate
minecraft:redstone_ore, Redstone Ore
minecraft:redstone_torch, Redstone Torch
minecraft:stone_button, Button
minecraft:snow_layer:0, Snow
minecraft:ice, Ice
minecraft:snow, Snow
minecraft:cactus, Cactus
minecraft:clay, Clay
minecraft:jukebox, Jukebox
minecraft:fence:0, Oak Fence
minecraft:fence:1, Spruce Fence
minecraft:fence:2, Birch Fence
minecraft:fence:3, Jungle Fence
minecraft:fence:4, Acacia Fence
minecraft:fence:5, Dark Oak Fence
minecraft:pumpkin, Pumpkin
minecraft:netherrack, Netherrack
minecraft:soul_sand, Soul Sand
minecraft:glowstone, Glowstone
minecraft:portal, Portal
minecraft:lit_pumpkin, Jack o'Lantern
minecraft:stained_glass:0, White Stained Glass
minecraft:stained_glass:1, Orange Stained Glass
minecraft:stained_glass:2, Magenta Stained Glass
minecraft:stained_glass:3, Light Blue Stained Glass
minecraft:stained_glass:4, Yellow Stained Glass
minecraft:stained_glass:5, Lime Stained Glass
minecraft:stained_glass:6, Pink Stained Glass
minecraft:stained_glass:7, Gray Stained Glass
minecraft:stained_glass:8, Light Gray Stained Glass
minecraft:stained_glass:9, Cyan Stained Glass
minecraft:stained_glass:10, Purple Stained Glass
minecraft:stained_glass:11, Blue Stained Glass
minecraft:stained_glass:12, Brown Stained Glass
minecraft:stained_glass:13, Green Stained Glass
minecraft:stained_glass:14, Red Stained Glass
minecraft:stained_glass:15, Black Stained Glass
minecraft:trapdoor, Trapdoor
minecraft:monster_egg:0, Silverfish Block
minecraft:monster_egg:1, Silverfish Block
minecraft:monster_egg:2, Silverfish Block
minecraft:monster_egg:3, Silverfish Block
minecraft:monster_egg:4, Silverfish Block
minecraft:monster_egg:5, Silverfish Block
minecraft:stonebrick:0, Stone Bricks
minecraft:stonebrick:1, Mossy Stone Bricks
minecraft:stonebrick:2, Cracked Stone Bricks
minecraft:stonebrick:3, Chiseled Stone Bricks
minecraft:brown_mushroom_block, Mushroom
minecraft:red_mushroom_block, Mushroom
minecraft:iron_bars, Iron Bars
minecraft:glass_pane, Glass Pane
minecraft:melon_block, Melon
minecraft:vine, Vines
minecraft:fence_gate, Oak Fence Gate
minecraft:brick_stairs, Brick Stairs
minecraft:stone_brick_stairs, Stone Brick Stairs
minecraft:mycelium, Mycelium
minecraft:waterlily, Lily Pad
minecraft:nether_brick, Nether Brick
minecraft:nether_brick_fence, Nether Brick Fence
minecraft:nether_brick_stairs, Nether Brick Stairs
minecraft:enchanting_table, Enchantment Table
minecraft:end_portal, Unnamed Block, report to mod author.
minecraft:end_portal_frame, End Portal
minecraft:end_stone, End Stone
minecraft:dragon_egg, Dragon Egg
minecraft:redstone_lamp, Redstone Lamp
minecraft:wooden_slab:0, Oak Wood Slab
minecraft:wooden_slab:1, Spruce Wood Slab
minecraft:wooden_slab:2, Birch Wood Slab
minecraft:wooden_slab:3, Jungle Wood Slab
minecraft:wooden_slab:4, Acacia Wood Slab
minecraft:wooden_slab:5, Dark Oak Wood Slab
minecraft:cocoa, Cocoa
minecraft:sandstone_stairs, Sandstone Stairs
minecraft:emerald_ore, Emerald Ore
minecraft:ender_chest, Ender Chest
minecraft:tripwire_hook, Tripwire Hook
minecraft:emerald_block, Block of Emerald
minecraft:spruce_stairs, Spruce Wood Stairs
minecraft:birch_stairs, Birch Wood Stairs
minecraft:jungle_stairs, Jungle Wood Stairs
minecraft:command_block, Command Block
minecraft:beacon, Beacon
minecraft:cobblestone_wall:0, Cobblestone Wall
minecraft:cobblestone_wall:1, Mossy Cobblestone Wall
minecraft:carrots, Carrots
minecraft:potatoes, Potatoes
minecraft:wooden_button, Button
minecraft:anvil:0, Anvil
minecraft:anvil:1, Slightly Damaged Anvil
minecraft:anvil:2, Very Damaged Anvil
minecraft:trapped_chest, Trapped Chest
minecraft:light_weighted_pressure_plate, Weighted Pressure Plate (Light)
minecraft:heavy_weighted_pressure_plate, Weighted Pressure Plate (Heavy)
minecraft:daylight_detector, Daylight Sensor
minecraft:redstone_block, Block of Redstone
minecraft:quartz_ore, Nether Quartz Ore
minecraft:hopper, Hopper
minecraft:quartz_block:0, Block of Quartz
minecraft:quartz_block:1, Chiseled Quartz Block
minecraft:quartz_block:2, Pillar Quartz Block
minecraft:quartz_stairs, Quartz Stairs
minecraft:activator_rail, Activator Track
minecraft:dropper, Dropper
minecraft:stained_hardened_clay:0, White Stained Clay
minecraft:stained_hardened_clay:1, Orange Stained Clay
minecraft:stained_hardened_clay:2, Magenta Stained Clay
minecraft:stained_hardened_clay:3, Light Blue Stained Clay
minecraft:stained_hardened_clay:4, Yellow Stained Clay
minecraft:stained_hardened_clay:5, Lime Stained Clay
minecraft:stained_hardened_clay:6, Pink Stained Clay
minecraft:stained_hardened_clay:7, Gray Stained Clay
minecraft:stained_hardened_clay:8, Light Gray Stained Clay
minecraft:stained_hardened_clay:9, Cyan Stained Clay
minecraft:stained_hardened_clay:10, Purple Stained Clay
minecraft:stained_hardened_clay:11, Blue Stained Clay
minecraft:stained_hardened_clay:12, Brown Stained Clay
minecraft:stained_hardened_clay:13, Green Stained Clay
minecraft:stained_hardened_clay:14, Red Stained Clay
minecraft:stained_hardened_clay:15, Black Stained Clay
minecraft:stained_glass_pane:0, White Stained Glass Pane
minecraft:stained_glass_pane:1, Orange Stained Glass Pane
minecraft:stained_glass_pane:2, Magenta Stained Glass Pane
minecraft:stained_glass_pane:3, Light Blue Stained Glass Pane
minecraft:stained_glass_pane:4, Yellow Stained Glass Pane
minecraft:stained_glass_pane:5, Lime Stained Glass Pane
minecraft:stained_glass_pane:6, Pink Stained Glass Pane
minecraft:stained_glass_pane:7, Gray Stained Glass Pane
minecraft:stained_glass_pane:8, Light Gray Stained Glass Pane
minecraft:stained_glass_pane:9, Cyan Stained Glass Pane
minecraft:stained_glass_pane:10, Purple Stained Glass Pane
minecraft:stained_glass_pane:11, Blue Stained Glass Pane
minecraft:stained_glass_pane:12, Brown Stained Glass Pane
minecraft:stained_glass_pane:13, Green Stained Glass Pane
minecraft:stained_glass_pane:14, Red Stained Glass Pane
minecraft:stained_glass_pane:15, Black Stained Glass Pane
minecraft:leaves2:0, Acacia Leaves
minecraft:leaves2:1, Dark Oak Leaves
minecraft:log2:0, Acacia Wood
minecraft:log2:1, Dark Oak Wood
minecraft:acacia_stairs, Acacia Wood Stairs
minecraft:dark_oak_stairs, Dark Oak Wood Stairs
battlegear2:flagpole:0, Oak Flag Pole
battlegear2:flagpole:1, Spruce Flag Pole
battlegear2:flagpole:2, Birch Flag Pole
battlegear2:flagpole:3, Jungle Flag Pole
battlegear2:flagpole:4, Iron Flag Pole
battlegear2:flagpole:5, Acacia Flag Pole
battlegear2:flagpole:6, Dark Oak Flag Pole
lotr:tile.rock:0, Mordor Rock
lotr:tile.rock:1, Gondor Rock
lotr:tile.rock:2, Rohan Rock
lotr:tile.rock:3, Sarlluin
lotr:tile.rock:4, Sarngaran
lotr:tile.rock:5, Chalk
lotr:tile.oreCopper, Copper Ore
lotr:tile.oreTin, Tin Ore
lotr:tile.oreSilver, Silver Ore
minecraft:hay_block, Hay Bale
minecraft:carpet:0, Carpet
minecraft:carpet:1, Orange Carpet
minecraft:carpet:2, Magenta Carpet
minecraft:carpet:3, Light Blue Carpet
minecraft:carpet:4, Yellow Carpet
minecraft:carpet:5, Lime Carpet
minecraft:carpet:6, Pink Carpet
minecraft:carpet:7, Gray Carpet
minecraft:carpet:8, Light Gray Carpet
minecraft:carpet:9, Cyan Carpet
minecraft:carpet:10, Purple Carpet
minecraft:carpet:11, Blue Carpet
minecraft:carpet:12, Brown Carpet
minecraft:carpet:13, Green Carpet
minecraft:carpet:14, Red Carpet
minecraft:carpet:15, Black Carpet
minecraft:hardened_clay, Hardened Clay
minecraft:coal_block, Block of Coal
minecraft:packed_ice, Packed Ice
minecraft:double_plant:0, Sunflower
minecraft:double_plant:1, Lilac
minecraft:double_plant:2, Double Tallgrass
minecraft:double_plant:3, Large Fern
minecraft:double_plant:4, Rose Bush
minecraft:double_plant:5, Peony
lotr:tile.oreMithril, Mithril Ore
lotr:tile.beacon, Beacon of Gondor
lotr:tile.simbelmyne, Simbelmynë
lotr:tile.wood:0, Shire Pine Wood
lotr:tile.wood:1, Mallorn Wood
lotr:tile.wood:2, Mirk-oak Wood
lotr:tile.wood:3, Charred Wood
lotr:tile.leaves:0, Shire Pine Leaves
lotr:tile.leaves:1, Mallorn Leaves
lotr:tile.leaves:2, Mirk-oak Leaves
lotr:tile.leaves:3, Red-oak Leaves
lotr:tile.planks:0, Shire Pine Wood Planks
lotr:tile.planks:1, Mallorn Wood Planks
lotr:tile.planks:2, Mirk-oak Wood Planks
lotr:tile.planks:3, Charred Wood Planks
lotr:tile.planks:4, Apple Wood Planks
lotr:tile.planks:5, Pear Wood Planks
lotr:tile.planks:6, Cherry Wood Planks
lotr:tile.planks:7, Mango Wood Planks
lotr:tile.planks:8, Lebethron Wood Planks
lotr:tile.planks:9, Beech Wood Planks
lotr:tile.planks:10, Holly Wood Planks
lotr:tile.planks:11, Banana Wood Planks
lotr:tile.planks:12, Maple Wood Planks
lotr:tile.planks:13, Larch Wood Planks
lotr:tile.planks:14, Date Palm Wood Planks
lotr:tile.planks:15, Mangrove Wood Planks
lotr:tile.sapling:0, Shire Pine Sapling
lotr:tile.sapling:1, Mallorn Sapling
lotr:tile.sapling:2, Mirk-oak Sapling
lotr:tile.sapling:3, Red-oak Sapling
lotr:tile.woodSlabSingle:0, Shire Pine Wood Slab
lotr:tile.woodSlabSingle:1, Mallorn Wood Slab
lotr:tile.woodSlabSingle:2, Mirk-oak Wood Slab
lotr:tile.woodSlabSingle:3, Charred Wood Slab
lotr:tile.woodSlabSingle:4, Apple Wood Slab
lotr:tile.woodSlabSingle:5, Pear Wood Slab
lotr:tile.woodSlabSingle:6, Cherry Wood Slab
lotr:tile.woodSlabSingle:7, Mango Wood Slab
lotr:tile.stairsPine, Shire Pine Wood Stairs
lotr:tile.shireHeather, Shire Heather
lotr:tile.brick:0, Mordor Brick
lotr:tile.brick:1, Gondor Brick
lotr:tile.brick:2, Mossy Gondor Brick
lotr:tile.brick:3, Cracked Gondor Brick
lotr:tile.brick:4, Rohan Brick
lotr:tile.brick:5, Carved Gondor Brick
lotr:tile.brick:6, Dwarven Brick
lotr:tile.brick:7, Cracked Mordor Brick
lotr:tile.brick:8, Silver-trimmed Dwarven Brick
lotr:tile.brick:9, Gold-trimmed Dwarven Brick
lotr:tile.brick:10, Mithril-trimmed Dwarven Brick
lotr:tile.brick:11, Galadhrim Brick
lotr:tile.brick:12, Mossy Galadhrim Brick
lotr:tile.brick:13, Cracked Galadhrim Brick
lotr:tile.brick:14, Sarlluin Brick
lotr:tile.brick:15, Haradric Brick
lotr:tile.appleCrumble, tile.lotr:appleCrumble.name
lotr:tile.hobbitOven, Hobbit Oven
lotr:tile.oreStorage:0, Block of Copper
lotr:tile.oreStorage:1, Block of Tin
lotr:tile.oreStorage:2, Block of Bronze
lotr:tile.oreStorage:3, Block of Silver
lotr:tile.oreStorage:4, Block of Mithril
lotr:tile.oreStorage:5, Block of Orc Steel
lotr:tile.oreStorage:6, Block of Edhelmir
lotr:tile.oreStorage:7, Block of Dwarven Steel
lotr:tile.oreStorage:8, Block of Galvorn
lotr:tile.oreStorage:9, Block of Uruk Steel
lotr:tile.oreStorage:10, Block of Durnaur
lotr:tile.oreStorage:11, Block of Gulduril
lotr:tile.oreStorage:12, Block of Morgul Steel
lotr:tile.oreStorage:13, Block of Sulfur
lotr:tile.oreStorage:14, Block of Niter
lotr:tile.oreStorage:15, Block of Blue Dwarven Steel
lotr:tile.oreNaurite, Durnaur Ore
lotr:tile.oreMorgulIron:0, Morgul Iron Ore
lotr:tile.oreMorgulIron:1, Morgul Iron Ore
lotr:tile.morgulCraftingTable, Morgul Crafting Table
lotr:tile.chandelier:0, Bronze Chandelier
lotr:tile.chandelier:1, Iron Chandelier
lotr:tile.chandelier:2, Silver Chandelier
lotr:tile.chandelier:3, Gold Chandelier
lotr:tile.chandelier:4, Mithril Chandelier
lotr:tile.chandelier:5, Silver Mallorn Chandelier
lotr:tile.chandelier:6, Wood-elven Chandelier
lotr:tile.chandelier:7, Orc Chandelier
lotr:tile.chandelier:8, Dwarven Chandelier
lotr:tile.chandelier:9, Uruk Chandelier
lotr:tile.chandelier:10, High Elven Chandelier
lotr:tile.chandelier:11, Blue Dwarven Chandelier
lotr:tile.chandelier:12, Morgul Chandelier
lotr:tile.chandelier:13, Blue Mallorn Chandelier
lotr:tile.chandelier:14, Golden Mallorn Chandelier
lotr:tile.chandelier:15, Green Mallorn Chandelier
lotr:tile.pipeweedPlant, Pipeweed Plant
lotr:tile.pipeweed, tile.lotr:pipeweed.name
lotr:tile.slabSingle:0, Smooth Mordor Rock Slab
lotr:tile.slabSingle:1, Mordor Brick Slab
lotr:tile.slabSingle:2, Smooth Gondor Rock Slab
lotr:tile.slabSingle:3, Gondor Brick Slab
lotr:tile.slabSingle:4, Mossy Gondor Brick Slab
lotr:tile.slabSingle:5, Cracked Gondor Brick Slab
lotr:tile.slabSingle:6, Rohan Brick Slab
lotr:tile.slabSingle:7, Dwarven Brick Slab
lotr:tile.stairsMordorBrick, Mordor Brick Stairs
lotr:tile.stairsGondorBrick, Gondor Brick Stairs
lotr:tile.wallStone:0, Mordor Rock Wall
lotr:tile.wallStone:1, Mordor Brick Wall
lotr:tile.wallStone:2, Gondor Rock Wall
lotr:tile.wallStone:3, Gondor Brick Wall
lotr:tile.wallStone:4, Mossy Gondor Brick Wall
lotr:tile.wallStone:5, Cracked Gondor Brick Wall
lotr:tile.wallStone:6, Rohan Brick Wall
lotr:tile.wallStone:7, Dwarven Brick Wall
lotr:tile.wallStone:8, Rohan Rock Wall
lotr:tile.wallStone:9, Cracked Mordor Brick Wall
lotr:tile.wallStone:10, Galadhrim Brick Wall
lotr:tile.wallStone:11, Mossy Galadhrim Brick Wall
lotr:tile.wallStone:12, Cracked Galadhrim Brick Wall
lotr:tile.wallStone:13, Sarlluin Wall
lotr:tile.wallStone:14, Sarlluin Brick Wall
lotr:tile.wallStone:15, Haradric Brick Wall
lotr:tile.barrel, Barrel
lotr:tile.lettuce, tile.lotr:lettuce.name
lotr:tile.orcBomb:0, Orc Bomb
lotr:tile.orcBomb:1, Orc Bomb
lotr:tile.orcBomb:2, Orc Bomb
lotr:tile.orcBomb:8, Orc Bomb
lotr:tile.orcBomb:9, Orc Bomb
lotr:tile.orcBomb:10, Orc Bomb
lotr:tile.orcTorch, tile.lotr:orcTorch.name
lotr:tile.elanor, Elanor
lotr:tile.niphredil, Niphredil
lotr:tile.stairsMallorn, Mallorn Wood Stairs
lotr:tile.elvenCraftingTable, Galadhrim Crafting Table
lotr:tile.mobSpawner:1, Mob Spawner
lotr:tile.mobSpawner:2, Mob Spawner
lotr:tile.mobSpawner:3, Mob Spawner
lotr:tile.mobSpawner:4, Mob Spawner
lotr:tile.mobSpawner:5, Mob Spawner
lotr:tile.mobSpawner:6, Mob Spawner
lotr:tile.mobSpawner:7, Mob Spawner
lotr:tile.mobSpawner:8, Mob Spawner
lotr:tile.mobSpawner:9, Mob Spawner
lotr:tile.mobSpawner:10, Mob Spawner
lotr:tile.mobSpawner:11, Mob Spawner
lotr:tile.mobSpawner:12, Mob Spawner
lotr:tile.mobSpawner:13, Mob Spawner
lotr:tile.mobSpawner:14, Mob Spawner
lotr:tile.mobSpawner:15, Mob Spawner
lotr:tile.mobSpawner:16, Mob Spawner
lotr:tile.mobSpawner:17, Mob Spawner
lotr:tile.mobSpawner:18, Mob Spawner
lotr:tile.mobSpawner:19, Mob Spawner
lotr:tile.mobSpawner:20, Mob Spawner
lotr:tile.mobSpawner:21, Mob Spawner
lotr:tile.mobSpawner:22, Mob Spawner
lotr:tile.mobSpawner:23, Mob Spawner
lotr:tile.mobSpawner:24, Mob Spawner
lotr:tile.mobSpawner:25, Mob Spawner
lotr:tile.mobSpawner:26, Mob Spawner
lotr:tile.mobSpawner:27, Mob Spawner
lotr:tile.mobSpawner:28, Mob Spawner
lotr:tile.mobSpawner:29, Mob Spawner
lotr:tile.mobSpawner:30, Mob Spawner
lotr:tile.mobSpawner:31, Mob Spawner
lotr:tile.mobSpawner:32, Mob Spawner
lotr:tile.mobSpawner:33, Mob Spawner
lotr:tile.mobSpawner:34, Mob Spawner
lotr:tile.mobSpawner:35, Mob Spawner
lotr:tile.mobSpawner:36, Mob Spawner
lotr:tile.mobSpawner:37, Mob Spawner
lotr:tile.mobSpawner:38, Mob Spawner
lotr:tile.mobSpawner:39, Mob Spawner
lotr:tile.mobSpawner:40, Mob Spawner
lotr:tile.mobSpawner:41, Mob Spawner
lotr:tile.mobSpawner:42, Mob Spawner
lotr:tile.mobSpawner:43, Mob Spawner
lotr:tile.mobSpawner:44, Mob Spawner
lotr:tile.mobSpawner:45, Mob Spawner
lotr:tile.mobSpawner:46, Mob Spawner
lotr:tile.mobSpawner:47, Mob Spawner
lotr:tile.mobSpawner:48, Mob Spawner
lotr:tile.mobSpawner:49, Mob Spawner
lotr:tile.mobSpawner:50, Mob Spawner
lotr:tile.mobSpawner:51, Mob Spawner
lotr:tile.mobSpawner:52, Mob Spawner
lotr:tile.mobSpawner:53, Mob Spawner
lotr:tile.mobSpawner:54, Mob Spawner
lotr:tile.mobSpawner:55, Mob Spawner
lotr:tile.mobSpawner:56, Mob Spawner
lotr:tile.mobSpawner:58, Mob Spawner
lotr:tile.mobSpawner:59, Mob Spawner
lotr:tile.mobSpawner:60, Mob Spawner
lotr:tile.mobSpawner:61, Mob Spawner
lotr:tile.mobSpawner:62, Mob Spawner
lotr:tile.mobSpawner:63, Mob Spawner
lotr:tile.mobSpawner:64, Mob Spawner
lotr:tile.mobSpawner:65, Mob Spawner
lotr:tile.mobSpawner:66, Mob Spawner
lotr:tile.mobSpawner:67, Mob Spawner
lotr:tile.mobSpawner:68, Mob Spawner
lotr:tile.mobSpawner:69, Mob Spawner
lotr:tile.mobSpawner:70, Mob Spawner
lotr:tile.mobSpawner:71, Mob Spawner
lotr:tile.mobSpawner:72, Mob Spawner
lotr:tile.mobSpawner:73, Mob Spawner
lotr:tile.mobSpawner:74, Mob Spawner
lotr:tile.mobSpawner:75, Mob Spawner
lotr:tile.mobSpawner:76, Mob Spawner
lotr:tile.mobSpawner:77, Mob Spawner
lotr:tile.mobSpawner:78, Mob Spawner
lotr:tile.mobSpawner:79, Mob Spawner
lotr:tile.mobSpawner:80, Mob Spawner
lotr:tile.mobSpawner:81, Mob Spawner
lotr:tile.mobSpawner:82, Mob Spawner
lotr:tile.mobSpawner:83, Mob Spawner
lotr:tile.mobSpawner:84, Mob Spawner
lotr:tile.mobSpawner:85, Mob Spawner
lotr:tile.mobSpawner:86, Mob Spawner
lotr:tile.mobSpawner:87, Mob Spawner
lotr:tile.mobSpawner:88, Mob Spawner
lotr:tile.mobSpawner:89, Mob Spawner
lotr:tile.mobSpawner:90, Mob Spawner
lotr:tile.mobSpawner:91, Mob Spawner
lotr:tile.mobSpawner:92, Mob Spawner
lotr:tile.mobSpawner:93, Mob Spawner
lotr:tile.mobSpawner:94, Mob Spawner
lotr:tile.mobSpawner:95, Mob Spawner
lotr:tile.mobSpawner:96, Mob Spawner
lotr:tile.mobSpawner:97, Mob Spawner
lotr:tile.mobSpawner:98, Mob Spawner
lotr:tile.mobSpawner:99, Mob Spawner
lotr:tile.mobSpawner:100, Mob Spawner
lotr:tile.mobSpawner:101, Mob Spawner
lotr:tile.mobSpawner:102, Mob Spawner
lotr:tile.mobSpawner:103, Mob Spawner
lotr:tile.mobSpawner:104, Mob Spawner
lotr:tile.mobSpawner:105, Mob Spawner
lotr:tile.mobSpawner:106, Mob Spawner
lotr:tile.mobSpawner:107, Mob Spawner
lotr:tile.mobSpawner:108, Mob Spawner
lotr:tile.mobSpawner:109, Mob Spawner
lotr:tile.mobSpawner:110, Mob Spawner
lotr:tile.mobSpawner:111, Mob Spawner
lotr:tile.mobSpawner:112, Mob Spawner
lotr:tile.mobSpawner:113, Mob Spawner
lotr:tile.mobSpawner:114, Mob Spawner
lotr:tile.mobSpawner:115, Mob Spawner
lotr:tile.mobSpawner:116, Mob Spawner
lotr:tile.mobSpawner:117, Mob Spawner
lotr:tile.mobSpawner:118, Mob Spawner
lotr:tile.mobSpawner:119, Mob Spawner
lotr:tile.mobSpawner:120, Mob Spawner
lotr:tile.mobSpawner:121, Mob Spawner
lotr:tile.mobSpawner:122, Mob Spawner
lotr:tile.mobSpawner:123, Mob Spawner
lotr:tile.mobSpawner:124, Mob Spawner
lotr:tile.mobSpawner:125, Mob Spawner
lotr:tile.mobSpawner:126, Mob Spawner
lotr:tile.mobSpawner:127, Mob Spawner
lotr:tile.mobSpawner:128, Mob Spawner
lotr:tile.mobSpawner:129, Mob Spawner
lotr:tile.mobSpawner:130, Mob Spawner
lotr:tile.mobSpawner:131, Mob Spawner
lotr:tile.mobSpawner:132, Mob Spawner
lotr:tile.mobSpawner:133, Mob Spawner
lotr:tile.mobSpawner:134, Mob Spawner
lotr:tile.mobSpawner:135, Mob Spawner
lotr:tile.mobSpawner:136, Mob Spawner
lotr:tile.mobSpawner:137, Mob Spawner
lotr:tile.mobSpawner:138, Mob Spawner
lotr:tile.mobSpawner:139, Mob Spawner
lotr:tile.mobSpawner:140, Mob Spawner
lotr:tile.mobSpawner:141, Mob Spawner
lotr:tile.mobSpawner:142, Mob Spawner
lotr:tile.mobSpawner:143, Mob Spawner
lotr:tile.mobSpawner:144, Mob Spawner
lotr:tile.mobSpawner:145, Mob Spawner
lotr:tile.mobSpawner:146, Mob Spawner
lotr:tile.mobSpawner:147, Mob Spawner
lotr:tile.mobSpawner:148, Mob Spawner
lotr:tile.mobSpawner:149, Mob Spawner
lotr:tile.mobSpawner:150, Mob Spawner
lotr:tile.mobSpawner:151, Mob Spawner
lotr:tile.mobSpawner:152, Mob Spawner
lotr:tile.mobSpawner:153, Mob Spawner
lotr:tile.mobSpawner:154, Mob Spawner
lotr:tile.mobSpawner:155, Mob Spawner
lotr:tile.mobSpawner:156, Mob Spawner
lotr:tile.mobSpawner:157, Mob Spawner
lotr:tile.mobSpawner:158, Mob Spawner
lotr:tile.mobSpawner:159, Mob Spawner
lotr:tile.mobSpawner:160, Mob Spawner
lotr:tile.mobSpawner:161, Mob Spawner
lotr:tile.mobSpawner:162, Mob Spawner
lotr:tile.mobSpawner:163, Mob Spawner
lotr:tile.mobSpawner:164, Mob Spawner
lotr:tile.mobSpawner:165, Mob Spawner
lotr:tile.mobSpawner:166, Mob Spawner
lotr:tile.mobSpawner:167, Mob Spawner
lotr:tile.mobSpawner:168, Mob Spawner
lotr:tile.mobSpawner:169, Mob Spawner
lotr:tile.mobSpawner:170, Mob Spawner
lotr:tile.mobSpawner:171, Mob Spawner
lotr:tile.mobSpawner:172, Mob Spawner
lotr:tile.mobSpawner:173, Mob Spawner
lotr:tile.mobSpawner:174, Mob Spawner
lotr:tile.mobSpawner:175, Mob Spawner
lotr:tile.mobSpawner:177, Mob Spawner
lotr:tile.mobSpawner:178, Mob Spawner
lotr:tile.mobSpawner:179, Mob Spawner
lotr:tile.mobSpawner:180, Mob Spawner
lotr:tile.mobSpawner:181, Mob Spawner
lotr:tile.mobSpawner:182, Mob Spawner
lotr:tile.mobSpawner:183, Mob Spawner
lotr:tile.mobSpawner:184, Mob Spawner
lotr:tile.mobSpawner:185, Mob Spawner
lotr:tile.mobSpawner:186, Mob Spawner
lotr:tile.mobSpawner:187, Mob Spawner
lotr:tile.mobSpawner:188, Mob Spawner
lotr:tile.mobSpawner:189, Mob Spawner
lotr:tile.mobSpawner:190, Mob Spawner
